name	center	type	chrom	start	end	width	message	cnvplex_1K	cnvplex_10K	cnvplex_100K	cnvplex_200K
chr1-AP0	1	AP0	chr1	1	200001	200001	skip无法设计	chr1-AP0,chr1:1-1001	chr1-AP0,chr1:1-10001	chr1-AP0,chr1:1-100001	chr1-AP0,chr1:1-200001
chr1-AP1	1000000	AP1	chr1	800000	1200000	400001	可用1p1.2M	chr1-AP1,chr1:999000-1001000	chr1-AP1,chr1:990000-1010000	chr1-AP1,chr1:900000-1100000	chr1-AP1,chr1:800000-1200000
chr1-AP2	2000000	AP2	chr1	1800000	2200000	400001	.	chr1-AP2,chr1:1999000-2001000	chr1-AP2,chr1:1990000-2010000	chr1-AP2,chr1:1900000-2100000	chr1-AP2,chr1:1800000-2200000
chr1-AP3	3000000	AP3	chr1	2800000	3200000	400001	.	chr1-AP3,chr1:2999000-3001000	chr1-AP3,chr1:2990000-3010000	chr1-AP3,chr1:2900000-3100000	chr1-AP3,chr1:2800000-3200000
chr1-AP5	5000000	AP5	chr1	4800000	5200000	400001	.	chr1-AP5,chr1:4999000-5001000	chr1-AP5,chr1:4990000-5010000	chr1-AP5,chr1:4900000-5100000	chr1-AP5,chr1:4800000-5200000
chr1-AQ0	249250621	AQ0	chr1	249050621	249250621	200001	.	chr1-AQ0,chr1:249249621-249251621	chr1-AQ0,chr1:249240621-249260621	chr1-AQ0,chr1:249150621-249350621	chr1-AQ0,chr1:249050621-249250621
chr1-AQ1	248250621	AQ1	chr1	248050621	248450621	400001	.	chr1-AQ1,chr1:248249621-248251621	chr1-AQ1,chr1:248240621-248260621	chr1-AQ1,chr1:248150621-248350621	chr1-AQ1,chr1:248050621-248450621
chr1-AQ2	247250621	AQ2	chr1	247050621	247450621	400001	.	chr1-AQ2,chr1:247249621-247251621	chr1-AQ2,chr1:247240621-247260621	chr1-AQ2,chr1:247150621-247350621	chr1-AQ2,chr1:247050621-247450621
chr1-AQ3	246250621	AQ3	chr1	246050621	246450621	400001	.	chr1-AQ3,chr1:246249621-246251621	chr1-AQ3,chr1:246240621-246260621	chr1-AQ3,chr1:246150621-246350621	chr1-AQ3,chr1:246050621-246450621
chr1-AQ5	244250621	AQ5	chr1	244050621	244450621	400001	.	chr1-AQ5,chr1:244249621-244251621	chr1-AQ5,chr1:244240621-244260621	chr1-AQ5,chr1:244150621-244350621	chr1-AQ5,chr1:244050621-244450621
chr1-BP1	120535434	BP1	chr1	120335434	120735434	400001	.	chr1-BP1,chr1:120534434-120536434	chr1-BP1,chr1:120525434-120545434	chr1-BP1,chr1:120435434-120635434	chr1-BP1,chr1:120335434-120735434
chr1-BP0	119000000	BP0	chr1	118800000	119200000	400001	设计在121M附近，如果无法设计，则设计在119M附近	chr1-BP0,chr1:118999000-119001000	chr1-BP0,chr1:118990000-119010000	chr1-BP0,chr1:118900000-119100000	chr1-BP0,chr1:118800000-119200000
chr1-BQ0	150000000	BQ0	chr1	149800000	150200000	400001	设计在150M附近	chr1-BQ0,chr1:149999000-150001000	chr1-BQ0,chr1:149990000-150010000	chr1-BQ0,chr1:149900000-150100000	chr1-BQ0,chr1:149800000-150200000
chr1-BQ1	151000000	BQ1	chr1	150800000	151200000	400001	设计在151M附近	chr1-BQ1,chr1:150999000-151001000	chr1-BQ1,chr1:150990000-151010000	chr1-BQ1,chr1:150900000-151100000	chr1-BQ1,chr1:150800000-151200000
chr1-CP1	10000000	CP1	chr1	9000000	11000000	2000001	.	chr1-CP1,chr1:9999000-10001000	chr1-CP1,chr1:9990000-10010000	chr1-CP1,chr1:9900000-10100000	chr1-CP1,chr1:9800000-10200000
