大区	区域	Critical Region(s)	核心区关键基因	Chr	L-REGION50	L-REGION75	REGION90-P1	REGION90-P2	R-REGION75	R-REGION50	REGION90 Sample Number
1	1CNV01B	1008286-1979154		1	779727	807685	961,395	1,979,154	2085938	2234693	10
1	1CNV01A	4533688-7581058		1	779727	807685	1,008,286	2,454,952	2558913	2734332	28
1	1CNV01B			1	779727	809759	957,474	4,533,747	4944170	5696605	34
1	1CNV01B			1	794595	849466	3,235,900	8,343,869	8807706	10869155	10
1	1CNV01B	9466781-12530188		1	3354713	3388727	4,533,688	7,581,058	7836835	7903007	5
1	1CNV01B			1	6363701	6614945	6,913,573	13,178,528	16125588	16382506	6
1	1CNV01B			1	8343754	9124551	9,466,781	12,530,188	12726755	12784811	5
2	1CNV02			1	144988715	145115780	145,115,780	145,747,269	145747269	145888926	5
2	1CNV02	145489708-145746971	RBM8A	1	145413388	145425395	145,489,708	145,746,971	145788922	145799602	39
3	1CNV03B			1	145987156	146096433	146,101,791	147,380,390	147385641	147400685	5
3	1CNV03B			1	145987156	146143189	146,155,929	147,718,449	147825519	147909094	140
3	1CNV03B	146628101-147356634	GJA5	1	146496005	146507711	146,571,304	147,356,634	147356634	147398560	6
3	1CNV03A			1	146507518	146564743	146,628,101	147,735,011	147786706	147824207	80
3	1CNV03C			1	145626237	146507649	146,564,743	148,545,736	149079806	149224043	33
4	1CNV04			1	224016202	224284190	229,158,656	249,185,508	249212668	249225312	
4	1CNV04	243949931-244371040		1	241840210	242130441	242,404,099	244,371,040	245363466	245617084	
4	1CNV04			1	238514421	239820768	240,407,744	247,846,290	249185508	249212668	16
4	1CNV04			1	242992033	243669865	243,949,931	247,867,973	249158835	249212668	
4	1CNV04	246778151-247846290		1	246051268	246550201	246,778,151	249,212,638	249212668	249212809	
5	2CNV03A	386460-1551481		2	30341	72184	386,460	1,551,481	1668446	2167793	11
5	2CNV03B			2	30341	39193	190,245	3,326,045	3391355	4234087	7
5	2CNV03C			2	30141	30342	50,661	9,217,329	9484638	9793036	5
6	2CNV04			2	50678025	50680795	50,725,729	50,892,906	50892906	50937503	5
