#chrom	start	end	freq
chr1	10001	82189	0.194
chr1	10001	127330	0.4478
chr1	21064	35983	0.3
chr1	46501	71800	0.0645
chr1	10499	235938	0.0113
chr1	49298	98602	0.0061
chr1	49298	98602	0.0061
chr1	70007	88084	0.275
chr1	86778	91967	0.1688
chr1	87433	89163	0.0313
chr1	91317	125400	1
chr1	121042	176984	0.0073
chr1	136181	137811	0.122
chr1	227601	267719	1
chr1	317720	351915	0.24
chr1	317770	471337	0.2
chr1	350531	435382	0.32
chr1	348092	461014	0.0448
chr1	404112	471337	0.1642
chr1	437342	468644	0.22
chr1	459944	464929	0.275
chr1	460229	471368	0.1772
chr1	521413	575095	0.1642
chr1	522577	641599	0.0448
chr1	521553	546384	0.22
chr1	521413	706368	0.093
chr1	544966	569604	0.0073
chr1	546384	549347	0.325
chr1	563896	570775	0.4615
chr1	564452	574333	0.0597
chr1	637238	730328	0.22
chr1	712111	764840	0.0804
chr1	723901	727245	0.0166
chr1	724314	727245	0.0065
chr1	738914	809773	0.0714
chr1	751887	762622	0.0299
chr1	754201	759100	0.1134
chr1	766408	769112	0.0734
chr1	812998	1708649	0.0545
chr1	869249	870860	0.0307
chr1	869310	870645	0.0844
chr1	869497	870645	0.1844
chr1	963659	964567	0.0945
chr1	1010973	1014683	0.0488
chr1	1011188	1014828	0.0097
chr1	1034317	1035340	0.0195
chr1	1074379	1076572	0.0123
chr1	1137003	1138283	0.0058
chr1	1142700	1143161	0.282
chr1	1183198	1183861	0.0871
chr1	1223189	1226049	0.0268
chr1	1285180	1287127	0.006
chr1	1285340	1286900	0.0156
chr1	1302378	1302882	1
chr1	1385069	1405538	1
chr1	1387455	1443716	0.0105
chr1	1352531	1453590	0.008
chr1	1393861	1431581	0.0088
chr1	1400225	1409107	0.0133
chr1	1414245	1416792	0.0284
chr1	1432368	1470064	0.2927
chr1	1443538	1445764	0.0437
chr1	1465911	1466268	0.1899
chr1	1522874	1524674	0.0117
chr1	1540850	1541970	0.0053
chr1	1540930	1541970	0.0529
chr1	1559466	1683706	0.0053
chr1	1584529	1685076	0.0063
chr1	1598413	1598601	0.2468
chr1	1620684	1692321	0.0186
chr1	1634170	1655791	0.0645
chr1	1635205	1680442	0.0075
chr1	1649047	1650677	0.0273
chr1	1910347	1911917	0.0104
chr1	1912935	1913930	0.0976
chr1	2024490	2027497	0.0222
chr1	2037656	2038273	1
chr1	2052961	2056200	0.0363
chr1	2052961	2055810	0.037
chr1	2073716	2074039	1
chr1	2367783	2368009	0.0714
chr1	2390764	2391052	0.073
