name	critical_chrom	critical_start	critical_end	critical_width	probe_number	interval	center	chrom	start	end	width	exclude_if	cnvplex_1K	cnvplex_10K	cnvplex_100K	cnvplex_200K
1-chr1_1008286_1979154-L	chr1	1008286	1979154	970869	3	436891	1056829	chr1	1008286	1105372	97087	chr1:838384-1275274	1-chr1_1008286_1979154-L,chr1:1055829-1057829	1-chr1_1008286_1979154-L,chr1:1046829-1066829	.	.
1-chr1_1008286_1979154-R	chr1	1008286	1979154	970869	3	436891	1930611	chr1	1882068	1979154	97087	chr1:1712166-2149056	1-chr1_1008286_1979154-R,chr1:1929611-1931611	1-chr1_1008286_1979154-R,chr1:1920611-1940611	.	.
1-chr1_1008286_1979154-M0	chr1	1008286	1979154	970869	3	436891	1493720	chr1	1406342	1581098	174757	chr1:1275275-1712165	1-chr1_1008286_1979154-M0,chr1:1492720-1494720	1-chr1_1008286_1979154-M0,chr1:1483720-1503720	1-chr1_1008286_1979154-M0,chr1:1406342-1581098	.
1-chr1_4533688_7581058-L	chr1	4533688	7581058	3047371	4	914211	4686056	chr1	4533688	4838424	304737	chr1:4228951-5143161	1-chr1_4533688_7581058-L,chr1:4685056-4687056	1-chr1_4533688_7581058-L,chr1:4676056-4696056	1-chr1_4533688_7581058-L,chr1:4586056-4786056	1-chr1_4533688_7581058-L,chr1:4533688-4838424
1-chr1_4533688_7581058-R	chr1	4533688	7581058	3047371	4	914211	7428690	chr1	7276322	7581058	304737	chr1:6971585-7885795	1-chr1_4533688_7581058-R,chr1:7427690-7429690	1-chr1_4533688_7581058-R,chr1:7418690-7438690	1-chr1_4533688_7581058-R,chr1:7328690-7528690	1-chr1_4533688_7581058-R,chr1:7276322-7581058
1-chr1_4533688_7581058-M0	chr1	4533688	7581058	3047371	4	914211	5600267	chr1	5417425	5783109	365685	chr1:5143162-6057372	1-chr1_4533688_7581058-M0,chr1:5599267-5601267	1-chr1_4533688_7581058-M0,chr1:5590267-5610267	1-chr1_4533688_7581058-M0,chr1:5500267-5700267	1-chr1_4533688_7581058-M0,chr1:5417425-5783109
1-chr1_4533688_7581058-M1	chr1	4533688	7581058	3047371	4	914211	6514478	chr1	6331636	6697320	365685	chr1:6057373-6971583	1-chr1_4533688_7581058-M1,chr1:6513478-6515478	1-chr1_4533688_7581058-M1,chr1:6504478-6524478	1-chr1_4533688_7581058-M1,chr1:6414478-6614478	1-chr1_4533688_7581058-M1,chr1:6331636-6697320
1-chr1_9466781_12530188-L	chr1	9466781	12530188	3063408	4	919022	9619951	chr1	9466781	9773121	306341	chr1:9160440-10079462	1-chr1_9466781_12530188-L,chr1:9618951-9620951	1-chr1_9466781_12530188-L,chr1:9609951-9629951	1-chr1_9466781_12530188-L,chr1:9519951-9719951	1-chr1_9466781_12530188-L,chr1:9466781-9773121
1-chr1_9466781_12530188-R	chr1	9466781	12530188	3063408	4	919022	12377018	chr1	12223848	12530188	306341	chr1:11917507-12836529	1-chr1_9466781_12530188-R,chr1:12376018-12378018	1-chr1_9466781_12530188-R,chr1:12367018-12387018	1-chr1_9466781_12530188-R,chr1:12277018-12477018	1-chr1_9466781_12530188-R,chr1:12223848-12530188
1-chr1_9466781_12530188-M0	chr1	9466781	12530188	3063408	4	919022	10538973	chr1	10355169	10722777	367609	chr1:10079462-10998484	1-chr1_9466781_12530188-M0,chr1:10537973-10539973	1-chr1_9466781_12530188-M0,chr1:10528973-10548973	1-chr1_9466781_12530188-M0,chr1:10438973-10638973	1-chr1_9466781_12530188-M0,chr1:10355169-10722777
1-chr1_9466781_12530188-M1	chr1	9466781	12530188	3063408	4	919022	11457995	chr1	11274191	11641799	367609	chr1:10998484-11917506	1-chr1_9466781_12530188-M1,chr1:11456995-11458995	1-chr1_9466781_12530188-M1,chr1:11447995-11467995	1-chr1_9466781_12530188-M1,chr1:11357995-11557995	1-chr1_9466781_12530188-M1,chr1:11274191-11641799
2-chr1_145489708_145746971-L	chr1	145489708	145746971	257264	3	115768	145502571	chr1	145489708	145515434	25727	chr1:145444687-145560455	2-chr1_145489708_145746971-L,chr1:145501571-145503571	2-chr1_145489708_145746971-L,chr1:145492571-145512571	.	.
2-chr1_145489708_145746971-R	chr1	145489708	145746971	257264	3	115768	145734108	chr1	145721245	145746971	25727	chr1:145676224-145791992	2-chr1_145489708_145746971-R,chr1:145733108-145735108	2-chr1_145489708_145746971-R,chr1:145724108-145744108	.	.
2-chr1_145489708_145746971-M0	chr1	145489708	145746971	257264	3	115768	145618340	chr1	145595187	145641493	46307	chr1:145560456-145676224	2-chr1_145489708_145746971-M0,chr1:145617340-145619340	2-chr1_145489708_145746971-M0,chr1:145608340-145628340	.	.
3-chr1_146628101_147356634-L	chr1	146628101	147356634	728534	3	327840	146664527	chr1	146628101	146700953	72853	chr1:146500607-146828447	3-chr1_146628101_147356634-L,chr1:146663527-146665527	3-chr1_146628101_147356634-L,chr1:146654527-146674527	.	.
3-chr1_146628101_147356634-R	chr1	146628101	147356634	728534	3	327840	147320208	chr1	147283782	147356634	72853	chr1:147156288-147484128	3-chr1_146628101_147356634-R,chr1:147319208-147321208	3-chr1_146628101_147356634-R,chr1:147310208-147330208	.	.
3-chr1_146628101_147356634-M0	chr1	146628101	147356634	728534	3	327840	146992368	chr1	146926800	147057936	131137	chr1:146828448-147156288	3-chr1_146628101_147356634-M0,chr1:146991368-146993368	3-chr1_146628101_147356634-M0,chr1:146982368-147002368	3-chr1_146628101_147356634-M0,chr1:146926800-147057936	.
4-chr1_243949931_244371040-L	chr1	243949931	244371040	421110	3	189499	243970986	chr1	243949931	243992041	42111	chr1:243876237-244065735	4-chr1_243949931_244371040-L,chr1:243969986-243971986	4-chr1_243949931_244371040-L,chr1:243960986-243980986	.	.
4-chr1_243949931_244371040-R	chr1	243949931	244371040	421110	3	189499	244349985	chr1	244328930	244371040	42111	chr1:244255236-244444734	4-chr1_243949931_244371040-R,chr1:244348985-244350985	4-chr1_243949931_244371040-R,chr1:244339985-244359985	.	.
4-chr1_243949931_244371040-M0	chr1	243949931	244371040	421110	3	189499	244160486	chr1	244122587	244198385	75799	chr1:244065737-244255235	4-chr1_243949931_244371040-M0,chr1:244159486-244161486	4-chr1_243949931_244371040-M0,chr1:244150486-244170486	.	.
4-chr1_246778151_247846290-L	chr1	246778151	247846290	1068140	4	320442	246831558	chr1	246778151	246884965	106815	chr1:246671337-246991779	4-chr1_246778151_247846290-L,chr1:246830558-246832558	4-chr1_246778151_247846290-L,chr1:246821558-246841558	4-chr1_246778151_247846290-L,chr1:246778151-246884965	.
4-chr1_246778151_247846290-R	chr1	246778151	247846290	1068140	4	320442	247792884	chr1	247739477	247846291	106815	chr1:247632663-247953105	4-chr1_246778151_247846290-R,chr1:247791884-247793884	4-chr1_246778151_247846290-R,chr1:247782884-247802884	4-chr1_246778151_247846290-R,chr1:247739477-247846291	.
4-chr1_246778151_247846290-M0	chr1	246778151	247846290	1068140	4	320442	247152000	chr1	247087912	247216088	128177	chr1:246991779-247312221	4-chr1_246778151_247846290-M0,chr1:247151000-247153000	4-chr1_246778151_247846290-M0,chr1:247142000-247162000	4-chr1_246778151_247846290-M0,chr1:247087912-247216088	.
4-chr1_246778151_247846290-M1	chr1	246778151	247846290	1068140	4	320442	247472442	chr1	247408354	247536530	128177	chr1:247312221-247632663	4-chr1_246778151_247846290-M1,chr1:247471442-247473442	4-chr1_246778151_247846290-M1,chr1:247462442-247482442	4-chr1_246778151_247846290-M1,chr1:247408354-247536530	.
5-chr2_386460_1551481-L	chr2	386460	1551481	1165022	4	349506	444711	chr2	386460	502962	116503	chr2:269958-619464	5-chr2_386460_1551481-L,chr2:443711-445711	5-chr2_386460_1551481-L,chr2:434711-454711	5-chr2_386460_1551481-L,chr2:386460-502962	.
5-chr2_386460_1551481-R	chr2	386460	1551481	1165022	4	349506	1493230	chr2	1434979	1551481	116503	chr2:1318477-1667983	5-chr2_386460_1551481-R,chr2:1492230-1494230	5-chr2_386460_1551481-R,chr2:1483230-1503230	5-chr2_386460_1551481-R,chr2:1434979-1551481	.
5-chr2_386460_1551481-M0	chr2	386460	1551481	1165022	4	349506	794217	chr2	724316	864118	139803	chr2:619464-968970	5-chr2_386460_1551481-M0,chr2:793217-795217	5-chr2_386460_1551481-M0,chr2:784217-804217	5-chr2_386460_1551481-M0,chr2:724316-864118	.
5-chr2_386460_1551481-M1	chr2	386460	1551481	1165022	4	349506	1143723	chr2	1073822	1213624	139803	chr2:968970-1318476	5-chr2_386460_1551481-M1,chr2:1142723-1144723	5-chr2_386460_1551481-M1,chr2:1133723-1153723	5-chr2_386460_1551481-M1,chr2:1073822-1213624	.
6-chr2_51088055_51226229-L	chr2	51088055	51226229	138175	3	62179	51094963	chr2	51088055	51101871	13817	chr2:51063874-51126052	6-chr2_51088055_51226229-L,chr2:51093963-51095963	6-chr2_51088055_51226229-L,chr2:51088055-51101871	.	.
6-chr2_51088055_51226229-R	chr2	51088055	51226229	138175	3	62179	51219321	chr2	51212413	51226229	13817	chr2:51188232-51250410	6-chr2_51088055_51226229-R,chr2:51218321-51220321	6-chr2_51088055_51226229-R,chr2:51212413-51226229	.	.
6-chr2_51088055_51226229-M0	chr2	51088055	51226229	138175	3	62179	51157142	chr2	51144707	51169577	24871	chr2:51126053-51188231	6-chr2_51088055_51226229-M0,chr2:51156142-51158142	6-chr2_51088055_51226229-M0,chr2:51147142-51167142	.	.
6-chr2_51260553_51314430-L	chr2	51260553	51314430	53878	3	24245	51263246	chr2	51260553	51265939	5387	chr2:51251124-51275368	6-chr2_51260553_51314430-L,chr2:51262246-51264246	6-chr2_51260553_51314430-L,chr2:51260553-51265939	.	.
6-chr2_51260553_51314430-R	chr2	51260553	51314430	53878	3	24245	51311737	chr2	51309044	51314430	5387	chr2:51299615-51323859	6-chr2_51260553_51314430-R,chr2:51310737-51312737	6-chr2_51260553_51314430-R,chr2:51309044-51314430	.	.
6-chr2_51260553_51314430-M0	chr2	51260553	51314430	53878	3	24245	51287492	chr2	51282643	51292341	9699	chr2:51275370-51299614	6-chr2_51260553_51314430-M0,chr2:51286492-51288492	6-chr2_51260553_51314430-M0,chr2:51282643-51292341	.	.
6-chr2_50850691_50892906-L	chr2	50850691	50892906	42216	3	18997	50852801	chr2	50850691	50854911	4221	chr2:50843303-50862299	6-chr2_50850691_50892906-L,chr2:50851801-50853801	6-chr2_50850691_50892906-L,chr2:50850691-50854911	.	.
6-chr2_50850691_50892906-R	chr2	50850691	50892906	42216	3	18997	50890796	chr2	50888686	50892906	4221	chr2:50881298-50900294	6-chr2_50850691_50892906-R,chr2:50889796-50891796	6-chr2_50850691_50892906-R,chr2:50888686-50892906	.	.
6-chr2_50850691_50892906-M0	chr2	50850691	50892906	42216	3	18997	50871799	chr2	50868000	50875598	7599	chr2:50862301-50881297	6-chr2_50850691_50892906-M0,chr2:50870799-50872799	6-chr2_50850691_50892906-M0,chr2:50868000-50875598	.	.
7-chr2_96779631_97695409-L	chr2	96779631	97695409	915779	3	412101	96825419	chr2	96779631	96871207	91577	chr2:96619369-97031469	7-chr2_96779631_97695409-L,chr2:96824419-96826419	7-chr2_96779631_97695409-L,chr2:96815419-96835419	.	.
7-chr2_96779631_97695409-R	chr2	96779631	97695409	915779	3	412101	97649621	chr2	97603833	97695409	91577	chr2:97443571-97855671	7-chr2_96779631_97695409-R,chr2:97648621-97650621	7-chr2_96779631_97695409-R,chr2:97639621-97659621	.	.
7-chr2_96779631_97695409-M0	chr2	96779631	97695409	915779	3	412101	97237520	chr2	97155100	97319940	164841	chr2:97031470-97443570	7-chr2_96779631_97695409-M0,chr2:97236520-97238520	7-chr2_96779631_97695409-M0,chr2:97227520-97247520	7-chr2_96779631_97695409-M0,chr2:97155100-97319940	.
8-chr2_107312738_108403252-L	chr2	107312738	108403252	1090515	4	327154	107367263	chr2	107312738	107421788	109051	chr2:107203686-107530840	8-chr2_107312738_108403252-L,chr2:107366263-107368263	8-chr2_107312738_108403252-L,chr2:107357263-107377263	8-chr2_107312738_108403252-L,chr2:107312738-107421788	.
8-chr2_107312738_108403252-R	chr2	107312738	108403252	1090515	4	327154	108348727	chr2	108294202	108403252	109051	chr2:108185150-108512304	8-chr2_107312738_108403252-R,chr2:108347727-108349727	8-chr2_107312738_108403252-R,chr2:108338727-108358727	8-chr2_107312738_108403252-R,chr2:108294202-108403252	.
8-chr2_107312738_108403252-M0	chr2	107312738	108403252	1090515	4	327154	107694417	chr2	107628987	107759847	130861	chr2:107530840-107857994	8-chr2_107312738_108403252-M0,chr2:107693417-107695417	8-chr2_107312738_108403252-M0,chr2:107684417-107704417	8-chr2_107312738_108403252-M0,chr2:107628987-107759847	.
8-chr2_107312738_108403252-M1	chr2	107312738	108403252	1090515	4	327154	108021571	chr2	107956141	108087001	130861	chr2:107857994-108185148	8-chr2_107312738_108403252-M1,chr2:108020571-108022571	8-chr2_107312738_108403252-M1,chr2:108011571-108031571	8-chr2_107312738_108403252-M1,chr2:107956141-108087001	.
8-chr2_109298362_110381356-L	chr2	109298362	110381356	1082995	4	324898	109352511	chr2	109298362	109406660	108299	chr2:109190062-109514960	8-chr2_109298362_110381356-L,chr2:109351511-109353511	8-chr2_109298362_110381356-L,chr2:109342511-109362511	8-chr2_109298362_110381356-L,chr2:109298362-109406660	.
8-chr2_109298362_110381356-R	chr2	109298362	110381356	1082995	4	324898	110327207	chr2	110273058	110381356	108299	chr2:110164758-110489656	8-chr2_109298362_110381356-R,chr2:110326207-110328207	8-chr2_109298362_110381356-R,chr2:110317207-110337207	8-chr2_109298362_110381356-R,chr2:110273058-110381356	.
8-chr2_109298362_110381356-M0	chr2	109298362	110381356	1082995	4	324898	109677409	chr2	109612430	109742388	129959	chr2:109514960-109839858	8-chr2_109298362_110381356-M0,chr2:109676409-109678409	8-chr2_109298362_110381356-M0,chr2:109667409-109687409	8-chr2_109298362_110381356-M0,chr2:109612430-109742388	.
8-chr2_109298362_110381356-M1	chr2	109298362	110381356	1082995	4	324898	110002307	chr2	109937328	110067286	129959	chr2:109839858-110164756	8-chr2_109298362_110381356-M1,chr2:110001307-110003307	8-chr2_109298362_110381356-M1,chr2:109992307-110012307	8-chr2_109298362_110381356-M1,chr2:109937328-110067286	.
8-chr2_110895981_110964737-L	chr2	110895981	110964737	68757	3	30941	110899418	chr2	110895981	110902855	6875	chr2:110883948-110914888	8-chr2_110895981_110964737-L,chr2:110898418-110900418	8-chr2_110895981_110964737-L,chr2:110895981-110902855	.	.
8-chr2_110895981_110964737-R	chr2	110895981	110964737	68757	3	30941	110961300	chr2	110957863	110964737	6875	chr2:110945830-110976770	8-chr2_110895981_110964737-R,chr2:110960300-110962300	8-chr2_110895981_110964737-R,chr2:110957863-110964737	.	.
8-chr2_110895981_110964737-M0	chr2	110895981	110964737	68757	3	30941	110930359	chr2	110924171	110936547	12377	chr2:110914889-110945829	8-chr2_110895981_110964737-M0,chr2:110929359-110931359	8-chr2_110895981_110964737-M0,chr2:110924171-110936547	.	.
9-chr2_111399243_112777032-L	chr2	111399243	112777032	1377790	4	413337	111468132	chr2	111399243	111537021	137779	chr2:111261464-111674800	9-chr2_111399243_112777032-L,chr2:111467132-111469132	9-chr2_111399243_112777032-L,chr2:111458132-111478132	9-chr2_111399243_112777032-L,chr2:111399243-111537021	.
9-chr2_111399243_112777032-R	chr2	111399243	112777032	1377790	4	413337	112708143	chr2	112639254	112777032	137779	chr2:112501475-112914811	9-chr2_111399243_112777032-R,chr2:112707143-112709143	9-chr2_111399243_112777032-R,chr2:112698143-112718143	9-chr2_111399243_112777032-R,chr2:112639254-112777032	.
9-chr2_111399243_112777032-M0	chr2	111399243	112777032	1377790	4	413337	111881469	chr2	111798802	111964136	165335	chr2:111674801-112088137	9-chr2_111399243_112777032-M0,chr2:111880469-111882469	9-chr2_111399243_112777032-M0,chr2:111871469-111891469	9-chr2_111399243_112777032-M0,chr2:111798802-111964136	.
9-chr2_111399243_112777032-M1	chr2	111399243	112777032	1377790	4	413337	112294806	chr2	112212139	112377473	165335	chr2:112088138-112501474	9-chr2_111399243_112777032-M1,chr2:112293806-112295806	9-chr2_111399243_112777032-M1,chr2:112284806-112304806	9-chr2_111399243_112777032-M1,chr2:112212139-112377473	.
10-chr2_165617506_166510365-L	chr2	165617506	166510365	892860	3	401787	165662149	chr2	165617506	165706792	89287	chr2:165461256-165863042	10-chr2_165617506_166510365-L,chr2:165661149-165663149	10-chr2_165617506_166510365-L,chr2:165652149-165672149	.	.
10-chr2_165617506_166510365-R	chr2	165617506	166510365	892860	3	401787	166465723	chr2	166421080	166510366	89287	chr2:166264830-166666616	10-chr2_165617506_166510365-R,chr2:166464723-166466723	10-chr2_165617506_166510365-R,chr2:166455723-166475723	.	.
10-chr2_165617506_166510365-M0	chr2	165617506	166510365	892860	3	401787	166063936	chr2	165983579	166144293	160715	chr2:165863043-166264829	10-chr2_165617506_166510365-M0,chr2:166062936-166064936	10-chr2_165617506_166510365-M0,chr2:166053936-166073936	10-chr2_165617506_166510365-M0,chr2:165983579-166144293	.
11-chr2_196925121_205206939-L	chr2	196925121	205206939	8281819	6	1490727	197339211	chr2	196925121	197753301	828181	chr2:196593848-198084574	11-chr2_196925121_205206939-L,chr2:197338211-197340211	11-chr2_196925121_205206939-L,chr2:197329211-197349211	11-chr2_196925121_205206939-L,chr2:197239211-197439211	11-chr2_196925121_205206939-L,chr2:197139211-197539211
11-chr2_196925121_205206939-R	chr2	196925121	205206939	8281819	6	1490727	204792849	chr2	204378759	205206939	828181	chr2:204047486-205538212	11-chr2_196925121_205206939-R,chr2:204791849-204793849	11-chr2_196925121_205206939-R,chr2:204782849-204802849	11-chr2_196925121_205206939-R,chr2:204692849-204892849	11-chr2_196925121_205206939-R,chr2:204592849-204992849
11-chr2_196925121_205206939-M0	chr2	196925121	205206939	8281819	6	1490727	198829938	chr2	198531793	199128083	596291	chr2:198084575-199575301	11-chr2_196925121_205206939-M0,chr2:198828938-198830938	11-chr2_196925121_205206939-M0,chr2:198819938-198839938	11-chr2_196925121_205206939-M0,chr2:198729938-198929938	11-chr2_196925121_205206939-M0,chr2:198629938-199029938
11-chr2_196925121_205206939-M1	chr2	196925121	205206939	8281819	6	1490727	200320665	chr2	200022520	200618810	596291	chr2:199575302-201066028	11-chr2_196925121_205206939-M1,chr2:200319665-200321665	11-chr2_196925121_205206939-M1,chr2:200310665-200330665	11-chr2_196925121_205206939-M1,chr2:200220665-200420665	11-chr2_196925121_205206939-M1,chr2:200120665-200520665
11-chr2_196925121_205206939-M2	chr2	196925121	205206939	8281819	6	1490727	201811392	chr2	201513247	202109537	596291	chr2:201066029-202556755	11-chr2_196925121_205206939-M2,chr2:201810392-201812392	11-chr2_196925121_205206939-M2,chr2:201801392-201821392	11-chr2_196925121_205206939-M2,chr2:201711392-201911392	11-chr2_196925121_205206939-M2,chr2:201611392-202011392
11-chr2_196925121_205206939-M3	chr2	196925121	205206939	8281819	6	1490727	203302119	chr2	203003974	203600264	596291	chr2:202556756-204047482	11-chr2_196925121_205206939-M3,chr2:203301119-203303119	11-chr2_196925121_205206939-M3,chr2:203292119-203312119	11-chr2_196925121_205206939-M3,chr2:203202119-203402119	11-chr2_196925121_205206939-M3,chr2:203102119-203502119
11-chr2_220158232_224899607-L	chr2	220158232	224899607	4741376	6	853447	220395300	chr2	220158232	220632368	474137	chr2:219968577-220822023	11-chr2_220158232_224899607-L,chr2:220394300-220396300	11-chr2_220158232_224899607-L,chr2:220385300-220405300	11-chr2_220158232_224899607-L,chr2:220295300-220495300	11-chr2_220158232_224899607-L,chr2:220195300-220595300
11-chr2_220158232_224899607-R	chr2	220158232	224899607	4741376	6	853447	224662539	chr2	224425471	224899607	474137	chr2:224235816-225089262	11-chr2_220158232_224899607-R,chr2:224661539-224663539	11-chr2_220158232_224899607-R,chr2:224652539-224672539	11-chr2_220158232_224899607-R,chr2:224562539-224762539	11-chr2_220158232_224899607-R,chr2:224462539-224862539
11-chr2_220158232_224899607-M0	chr2	220158232	224899607	4741376	6	853447	221248747	chr2	221078058	221419436	341379	chr2:220822024-221675470	11-chr2_220158232_224899607-M0,chr2:221247747-221249747	11-chr2_220158232_224899607-M0,chr2:221238747-221258747	11-chr2_220158232_224899607-M0,chr2:221148747-221348747	11-chr2_220158232_224899607-M0,chr2:221078058-221419436
