gene	trans	chrom	start	end	strand	feature	feature_number
BTRC	NM_033637	chr10	103113922	103113985	+	exon	1
BTRC	NM_033637	chr10	103190102	103190209	+	exon	2
BTRC	NM_033637	chr10	103221738	103221815	+	exon	3
BTRC	NM_033637	chr10	103239125	103239214	+	exon	4
BTRC	NM_033637	chr10	103281396	103281627	+	exon	5
BTRC	NM_033637	chr10	103285770	103285956	+	exon	6
BTRC	NM_033637	chr10	103290994	103291090	+	exon	7
BTRC	NM_033637	chr10	103292052	103292189	+	exon	8
BTRC	NM_033637	chr10	103292709	103292827	+	exon	9
BTRC	NM_033637	chr10	103294418	103294667	+	exon	10
BTRC	NM_033637	chr10	103295111	103295229	+	exon	11
BTRC	NM_033637	chr10	103296300	103296410	+	exon	12
BTRC	NM_033637	chr10	103298050	103298128	+	exon	13
BTRC	NM_033637	chr10	103310456	103310648	+	exon	14
BTRC	NM_033637	chr10	103312912	103317070	+	exon	15
BTRC	NM_033637	chr10	103113938	103113985	+	CDS	1
BTRC	NM_033637	chr10	103190102	103190209	+	CDS	2
BTRC	NM_033637	chr10	103221738	103221815	+	CDS	3
BTRC	NM_033637	chr10	103239125	103239214	+	CDS	4
BTRC	NM_033637	chr10	103281396	103281627	+	CDS	5
BTRC	NM_033637	chr10	103285770	103285956	+	CDS	6
BTRC	NM_033637	chr10	103290994	103291090	+	CDS	7
BTRC	NM_033637	chr10	103292052	103292189	+	CDS	8
BTRC	NM_033637	chr10	103292709	103292827	+	CDS	9
BTRC	NM_033637	chr10	103294418	103294667	+	CDS	10
BTRC	NM_033637	chr10	103295111	103295229	+	CDS	11
BTRC	NM_033637	chr10	103296300	103296410	+	CDS	12
BTRC	NM_033637	chr10	103298050	103298128	+	CDS	13
BTRC	NM_033637	chr10	103310456	103310614	+	CDS	14
BTRC	NM_033637	chr10	103113938	103113940	+	start_codon	1
BTRC	NM_033637	chr10	103310615	103310617	+	stop_codon	14
CHRNA7	NM_000746	chr15	32322718	32322852	+	exon	1
CHRNA7	NM_000746	chr15	32323101	32323240	+	exon	2
CHRNA7	NM_000746	chr15	32393506	32393550	+	exon	3
CHRNA7	NM_000746	chr15	32403991	32404100	+	exon	4
CHRNA7	NM_000746	chr15	32446108	32446187	+	exon	5
CHRNA7	NM_000746	chr15	32449809	32449976	+	exon	6
CHRNA7	NM_000746	chr15	32450613	32450807	+	exon	7
CHRNA7	NM_000746	chr15	32451770	32451856	+	exon	8
CHRNA7	NM_000746	chr15	32455427	32455536	+	exon	9
CHRNA7	NM_000746	chr15	32460141	32465219	+	exon	10
CHRNA7	NM_000746	chr15	32322798	32322852	+	CDS	1
CHRNA7	NM_000746	chr15	32323101	32323240	+	CDS	2
CHRNA7	NM_000746	chr15	32393506	32393550	+	CDS	3
CHRNA7	NM_000746	chr15	32403991	32404100	+	CDS	4
CHRNA7	NM_000746	chr15	32446108	32446187	+	CDS	5
CHRNA7	NM_000746	chr15	32449809	32449976	+	CDS	6
CHRNA7	NM_000746	chr15	32450613	32450807	+	CDS	7
CHRNA7	NM_000746	chr15	32451770	32451856	+	CDS	8
CHRNA7	NM_000746	chr15	32455427	32455536	+	CDS	9
CHRNA7	NM_000746	chr15	32460141	32460656	+	CDS	10
CHRNA7	NM_000746	chr15	32322798	32322800	+	start_codon	1
CHRNA7	NM_000746	chr15	32460657	32460659	+	stop_codon	10
CREBBP	NM_004380	chr16	3929833	3930714	-	exon	1
CREBBP	NM_004380	chr16	3900298	3901010	-	exon	2
CREBBP	NM_004380	chr16	3860604	3860780	-	exon	3
CREBBP	NM_004380	chr16	3843387	3843627	-	exon	4
CREBBP	NM_004380	chr16	3841982	3842095	-	exon	5
CREBBP	NM_004380	chr16	3832685	3832927	-	exon	6
CREBBP	NM_004380	chr16	3831205	3831307	-	exon	7
CREBBP	NM_004380	chr16	3830733	3830879	-	exon	8
CREBBP	NM_004380	chr16	3828701	3828818	-	exon	9
CREBBP	NM_004380	chr16	3828012	3828183	-	exon	10
CREBBP	NM_004380	chr16	3827614	3827658	-	exon	11
CREBBP	NM_004380	chr16	3824570	3824694	-	exon	12
CREBBP	NM_004380	chr16	3823752	3823931	-	exon	13
CREBBP	NM_004380	chr16	3820571	3820987	-	exon	14
CREBBP	NM_004380	chr16	3819175	3819354	-	exon	15
CREBBP	NM_004380	chr16	3817721	3817910	-	exon	16
CREBBP	NM_004380	chr16	3808855	3808973	-	exon	17
CREBBP	NM_004380	chr16	3807810	3808049	-	exon	18
CREBBP	NM_004380	chr16	3807289	3807377	-	exon	19
CREBBP	NM_004380	chr16	3801727	3801807	-	exon	20
CREBBP	NM_004380	chr16	3799628	3799684	-	exon	21
CREBBP	NM_004380	chr16	3795278	3795355	-	exon	22
CREBBP	NM_004380	chr16	3794895	3794962	-	exon	23
