name	gene	mrna	cds_count	strand	status	type	middle_point	center	chrom	start	end	width	candidate_exon	candidate_updown	cnvplex_format	critical_region_raw	critical_region_merge	cds	start_codon	stop_codon
2-RBM8A-1	RBM8A	NM_005105	6	+	two_cover	start_codon	145507667	145507667	chr1	145506667	145508667	2001	.	2-RBM8A-1-expand2K,chr1:145505667-145509667;2-RBM8A-1-expand5K,chr1:145502667-145512667	2-RBM8A-1,chr1:145506667-145508667	chr1:145489708-145746971	chr1:145489708-145746971	chr1:145507667-145507733,chr1:145508016-145508075,chr1:145508207-145508284,chr1:145508475-145508611,chr1:145508916-145509052,chr1:145509166-145509208	chr1:145507667-145507669	chr1:145509209-145509211
2-RBM8A-2	RBM8A	NM_005105	6	+	two_cover	closest_CDS	145508439	145508543	chr1	145508475	145508611	137	2-RBM8A-2-candidate_CDS2,chr1:145508016-145508075;2-RBM8A-2-candidate_CDS3,chr1:145508207-145508284;2-RBM8A-2-candidate_CDS1,chr1:145507667-145507733;2-RBM8A-2-candidate_CDS4,chr1:145508475-145508611;2-RBM8A-2-candidate_CDS6,chr1:145509166-145509208	.	2-RBM8A-2,chr1:145508475-145508611	chr1:145489708-145746971	chr1:145489708-145746971	chr1:145507667-145507733,chr1:145508016-145508075,chr1:145508207-145508284,chr1:145508475-145508611,chr1:145508916-145509052,chr1:145509166-145509208	chr1:145507667-145507669	chr1:145509209-145509211
2-RBM8A-3	RBM8A	NM_005105	6	+	two_cover	stop_codon	145509211	145509211	chr1	145508211	145510211	2001	.	2-RBM8A-3-expand2K,chr1:145507211-145511211;2-RBM8A-3-expand5K,chr1:145504211-145514211	2-RBM8A-3,chr1:145508211-145510211	chr1:145489708-145746971	chr1:145489708-145746971	chr1:145507667-145507733,chr1:145508016-145508075,chr1:145508207-145508284,chr1:145508475-145508611,chr1:145508916-145509052,chr1:145509166-145509208	chr1:145507667-145507669	chr1:145509209-145509211
3-GJA5-1	GJA5	NM_005266	1	-	two_cover	start_codon	147231346	147231346	chr1	147230346	147232346	2001	.	3-GJA5-1-expand2K,chr1:147229346-147233346;3-GJA5-1-expand5K,chr1:147226346-147236346	3-GJA5-1,chr1:147230346-147232346	chr1:146628101-147356634	chr1:146628101-147356634	chr1:147230273-147231346	chr1:147231344-147231346	chr1:147230270-147230272
3-GJA5-2	GJA5	NM_005266	1	-	two_cover	closest_CDS	147230808	147230809	chr1	147230273	147231346	1074	.	.	3-GJA5-2,chr1:147230273-147231346	chr1:146628101-147356634	chr1:146628101-147356634	chr1:147230273-147231346	chr1:147231344-147231346	chr1:147230270-147230272
3-GJA5-3	GJA5	NM_005266	1	-	two_cover	stop_codon	147230270	147230270	chr1	147229270	147231270	2001	.	3-GJA5-3-expand2K,chr1:147228270-147232270;3-GJA5-3-expand5K,chr1:147225270-147235270	3-GJA5-3,chr1:147229270-147231270	chr1:146628101-147356634	chr1:146628101-147356634	chr1:147230273-147231346	chr1:147231344-147231346	chr1:147230270-147230272
6-NRXN1-1	NRXN1	NM_001135659	23	-	start_cover	start_codon	51255411	51255411	chr2	51254411	51256411	2001	.	6-NRXN1-1-expand2K,chr2:51253411-51257411;6-NRXN1-1-expand5K,chr2:51250411-51260411	6-NRXN1-1,chr2:51254411-51256411	chr2:51088055-51226229,chr2:51260553-51314430,chr2:50850691-50892906	chr2:50850691-51314430	chr2:51254640-51255411,chr2:51253509-51253607,chr2:51153076-51153093,chr2:51149796-51149825,chr2:51149007-51149018,chr2:50850452-50850753,chr2:50848343-50848387,chr2:50847160-50847321,chr2:50779725-50780163,chr2:50765391-50765774,chr2:50758365-50758568,chr2:50755763-50755789,chr2:50733633-50733755,chr2:50724471-50724852,chr2:50723043-50723233,chr2:50699436-50699609,chr2:50692580-50692699,chr2:50463927-50464108,chr2:50318461-50318632,chr2:50282093-50282182,chr2:50280409-50280728,chr2:50170842-50170929,chr2:50149085-50149389	chr2:51255409-51255411	chr2:50149082-50149084
6-NRXN1-2	NRXN1	NM_001135659	23	-	start_cover	closest_CDS	51053051	51149012	chr2	51149007	51149018	12	6-NRXN1-2-candidate_CDS3,chr2:51253509-51253607;6-NRXN1-2-candidate_CDS4,chr2:51153076-51153093;6-NRXN1-2-candidate_CDS5,chr2:51149796-51149825;6-NRXN1-2-candidate_CDS6,chr2:51149007-51149018;6-NRXN1-2-candidate_CDS7,chr2:50850691-50850753	.	6-NRXN1-2,chr2:51149007-51149018	chr2:51088055-51226229,chr2:51260553-51314430,chr2:50850691-50892906	chr2:50850691-51314430	chr2:51254640-51255411,chr2:51253509-51253607,chr2:51153076-51153093,chr2:51149796-51149825,chr2:51149007-51149018,chr2:50850452-50850753,chr2:50848343-50848387,chr2:50847160-50847321,chr2:50779725-50780163,chr2:50765391-50765774,chr2:50758365-50758568,chr2:50755763-50755789,chr2:50733633-50733755,chr2:50724471-50724852,chr2:50723043-50723233,chr2:50699436-50699609,chr2:50692580-50692699,chr2:50463927-50464108,chr2:50318461-50318632,chr2:50282093-50282182,chr2:50280409-50280728,chr2:50170842-50170929,chr2:50149085-50149389	chr2:51255409-51255411	chr2:50149082-50149084
6-NRXN1-3	NRXN1	NM_001135659	23	-	start_cover	demarcation_point	50850691	50850722	chr2	50850691	50850753	63	6-NRXN1-3-candidate_CDS3,chr2:51253509-51253607;6-NRXN1-3-candidate_CDS4,chr2:51153076-51153093;6-NRXN1-3-candidate_CDS5,chr2:51149796-51149825;6-NRXN1-3-candidate_CDS6,chr2:51149007-51149018;6-NRXN1-3-candidate_CDS7,chr2:50850691-50850753	.	6-NRXN1-3,chr2:50850691-50850753	chr2:51088055-51226229,chr2:51260553-51314430,chr2:50850691-50892906	chr2:50850691-51314430	chr2:51254640-51255411,chr2:51253509-51253607,chr2:51153076-51153093,chr2:51149796-51149825,chr2:51149007-51149018,chr2:50850452-50850753,chr2:50848343-50848387,chr2:50847160-50847321,chr2:50779725-50780163,chr2:50765391-50765774,chr2:50758365-50758568,chr2:50755763-50755789,chr2:50733633-50733755,chr2:50724471-50724852,chr2:50723043-50723233,chr2:50699436-50699609,chr2:50692580-50692699,chr2:50463927-50464108,chr2:50318461-50318632,chr2:50282093-50282182,chr2:50280409-50280728,chr2:50170842-50170929,chr2:50149085-50149389	chr2:51255409-51255411	chr2:50149082-50149084
8-NPHP1-1	NPHP1	NM_000272	20	-	two_cover	start_codon	110962545	110962545	chr2	110961545	110963545	2001	.	8-NPHP1-1-expand2K,chr2:110960545-110964545;8-NPHP1-1-expand5K,chr2:110957545-110967545	8-NPHP1-1,chr2:110961545-110963545	chr2:107312738-108403252,chr2:109298362-110381356,chr2:110895981-110964737	chr2:107312738-110964737	chr2:110962477-110962545,chr2:110958998-110959071,chr2:110937201-110937261,chr2:110936000-110936124,chr2:110927383-110927575,chr2:110926029-110926130,chr2:110922629-110922732,chr2:110922097-110922307,chr2:110920625-110920712,chr2:110919180-110919274,chr2:110917704-110917832,chr2:110907759-110907833,chr2:110905493-110905603,chr2:110904330-110904412,chr2:110902070-110902146,chr2:110901119-110901218,chr2:110889256-110889368,chr2:110886763-110886836,chr2:110883214-110883258,chr2:110881371-110881640	chr2:110962543-110962545	chr2:110881368-110881370
